tier,tier_label,ARTG_ID,product_name,sponsor,zinc_percent,n_uv_filters,uv_filters,actives_with_qty,spf_label,mineral_only,pdf_collected,artg_page,pdf_url
1,baby/kids · mineral-only,525601,KIDS ZINC SUNSCREEN,Veganic SKN,25.0,1,zinc oxide,zinc oxide 250.0mg/g,,True,False,https://www.tga.gov.au/resources/artg/525601,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=525601&agid=(PrintDetailsPublic)&actionid=1
1,baby/kids · mineral-only,526295,Kids Mineral Sunscreen,Veganic SKN,25.0,1,zinc oxide,zinc oxide 250.0mg/g,,True,False,https://www.tga.gov.au/resources/artg/526295,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=526295&agid=(PrintDetailsPublic)&actionid=1
1,baby/kids · mineral-only,526343,MIneral Baby Sunscreen,Veganic SKN,25.0,1,zinc oxide,zinc oxide 250.0mg/g,,True,False,https://www.tga.gov.au/resources/artg/526343,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=526343&agid=(PrintDetailsPublic)&actionid=1
1,baby/kids · mineral-only,526340,Mineral Kids Sunscreen,Veganic SKN,25.0,1,zinc oxide,zinc oxide 250.0mg/g,,True,False,https://www.tga.gov.au/resources/artg/526340,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=526340&agid=(PrintDetailsPublic)&actionid=1
1,baby/kids · mineral-only,526391,Mineral Kids Sunscreen,Veganic SKN,25.0,1,zinc oxide,zinc oxide 250.0mg/g,,True,True,https://www.tga.gov.au/resources/artg/526391,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=526391&agid=(PrintDetailsPublic)&actionid=1
1,baby/kids · mineral-only,526347,Organic Kids Sunscreen,Veganic SKN,25.0,1,zinc oxide,zinc oxide 250.0mg/g,,True,False,https://www.tga.gov.au/resources/artg/526347,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=526347&agid=(PrintDetailsPublic)&actionid=1
1,baby/kids · mineral-only,407089,Banana Boat Baby Zinc Sunscreen Lotion SPF 50+,Edgewell Personal Care Australia Pty Ltd,24.575,1,zinc oxide,zinc oxide 245.75mg/g,50,True,True,https://www.tga.gov.au/resources/artg/407089,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=407089&agid=(PrintDetailsPublic)&actionid=1
1,baby/kids · mineral-only,527776,Kids Roll-On Natural Clear Zinc Sunscreen,Littleurchin Pty Ltd,24.05,1,zinc oxide,zinc oxide 240.5mg/g,,True,False,https://www.tga.gov.au/resources/artg/527776,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=527776&agid=(PrintDetailsPublic)&actionid=1
1,baby/kids · mineral-only,457847,BABY NATURAL CLEAR ZINC SUNSCREEN,Littleurchin Pty Ltd,22.75,1,zinc oxide,zinc oxide 227.5mg/g,,True,False,https://www.tga.gov.au/resources/artg/457847,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=457847&agid=(PrintDetailsPublic)&actionid=1
1,baby/kids · mineral-only,481465,Baby Mineral Sunscreen SPF50+,Feel Good and Co Pty Ltd,22.75,1,zinc oxide,zinc oxide 227.5mg/g,50,True,False,https://www.tga.gov.au/resources/artg/481465,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=481465&agid=(PrintDetailsPublic)&actionid=1
1,baby/kids · mineral-only,457849,KIDS NATURAL CLEAR ZINC SUNSCREEN,Littleurchin Pty Ltd,22.75,1,zinc oxide,zinc oxide 227.5mg/g,,True,False,https://www.tga.gov.au/resources/artg/457849,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=457849&agid=(PrintDetailsPublic)&actionid=1
1,baby/kids · mineral-only,450067,MINERAL SUNSCREEN FOR BABIES & CHILDREN,The Trustee for Sun and Daughter Unit Trust,22.75,1,zinc oxide,zinc oxide 227.5mg/g,,True,False,https://www.tga.gov.au/resources/artg/450067,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=450067&agid=(PrintDetailsPublic)&actionid=1
1,baby/kids · mineral-only,525074,Mineral Sunscreen for Babies and Children,The Trustee for Sun and Daughter Unit Trust,22.75,1,zinc oxide,zinc oxide 227.5mg/g,,True,False,https://www.tga.gov.au/resources/artg/525074,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=525074&agid=(PrintDetailsPublic)&actionid=1
1,baby/kids · mineral-only,465670,Invisible Zinc Junior Mineral Sunscreen SPF50,iNova Pharmaceuticals (Australia) Pty Ltd,22.0,1,zinc oxide,zinc oxide 220.0mg/g,50,True,False,https://www.tga.gov.au/resources/artg/465670,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=465670&agid=(PrintDetailsPublic)&actionid=1
